City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,Conceicao Do Araguaia,-8.2578,-49.2647,98.15,31,44,4.97,BR,2022-09-25 15:19:44
220,Oyama,36.3,139.8,75.58,77,28,3.15,JP,2022-09-25 15:19:44
221,Hamilton,39.1834,-84.5333,70.2,71,75,13.8,US,2022-09-25 15:15:46
222,Vanavara,60.34,102.2797,30.13,92,96,3.71,RU,2022-09-25 15:19:45
223,Olkhovatka,50.2831,39.2872,52.05,68,93,12.3,RU,2022-09-25 15:19:45
224,Ishigaki,24.3448,124.1572,78.93,100,75,13.8,JP,2022-09-25 15:19:30
225,Arraial Do Cabo,-22.9661,-42.0278,78.76,60,40,12.66,BR,2022-09-25 15:19:46
226,Dingle,10.9995,122.6711,77.56,87,100,11.23,PH,2022-09-25 15:19:47
227,Olafsvik,64.8945,-23.7142,46.45,59,9,10.29,IS,2022-09-25 15:19:48
228,Padang,-0.9492,100.3543,75.25,84,81,3.69,ID,2022-09-25 15:19:48
229,Ostrov,57.3439,28.3537,47.93,66,95,6.24,RU,2022-09-25 15:20:49
230,George Town,5.4112,100.3354,81.9,79,20,0.0,MY,2022-09-25 15:20:49
231,Ajaccio,42.0,8.9167,71.65,65,40,9.22,FR,2022-09-25 15:16:38
232,Mariental,-24.6333,17.9667,88.79,9,85,30.18,NA,2022-09-25 15:20:50
233,Cayenne,4.9333,-52.3333,91.44,52,0,6.91,GF,2022-09-25 15:20:50
234,Huarmey,-10.0681,-78.1522,65.66,74,80,11.41,PE,2022-09-25 15:20:50
235,Pimentel,-6.8367,-79.9342,62.89,77,100,16.11,PE,2022-09-25 15:20:51
236,Vila,42.0304,-8.1588,60.69,46,6,8.59,PT,2022-09-25 15:20:51
237,Meulaboh,4.1363,96.1285,77.59,86,100,2.3,ID,2022-09-25 15:20:51
238,Kahului,20.8947,-156.47,76.84,68,0,3.44,US,2022-09-25 15:20:45
239,Owo,7.1962,5.5868,83.86,66,81,1.88,NG,2022-09-25 15:20:52
240,Kant,27.8,79.8,75.47,93,43,5.1,IN,2022-09-25 15:20:52
241,Buraydah,26.326,43.975,93.65,17,0,14.5,SA,2022-09-25 15:15:54
242,Saint-Leu,-21.15,55.2833,70.66,74,9,9.51,RE,2022-09-25 15:20:53
243,Ambilobe,-13.2,49.05,75.76,68,0,3.62,MG,2022-09-25 15:20:53
244,Palu,-0.8917,119.8707,75.6,96,88,2.3,ID,2022-09-25 15:18:38
245,Hailar,49.2,119.7,37.35,41,2,10.27,CN,2022-09-25 15:20:54
246,Mishelevka,52.8575,103.1719,39.0,88,100,6.49,RU,2022-09-25 15:20:54
247,Castro,-24.7911,-50.0119,52.66,85,100,7.4,BR,2022-09-25 15:20:55
248,Luderitz,-26.6481,15.1594,59.29,67,61,7.63,NA,2022-09-25 15:20:55
249,Ouegoa,-20.35,164.4333,72.5,85,1,5.23,NC,2022-09-25 15:20:56
250,Nacala,-14.5428,40.6728,78.37,71,0,8.68,MZ,2022-09-25 15:20:56
251,Kirundo,-2.5833,30.1667,74.7,47,97,1.7,BI,2022-09-25 15:20:56
252,Sembakung,3.8167,117.25,75.11,97,99,1.88,ID,2022-09-25 15:20:57
253,Anadyr,64.75,177.4833,25.3,93,0,8.95,RU,2022-09-25 15:20:14
254,Mahebourg,-20.4081,57.7,72.25,73,40,12.66,MU,2022-09-25 15:20:57
255,Saraland,30.8207,-88.0706,87.42,66,39,2.8,US,2022-09-25 15:20:58
256,Pouebo,-20.4,164.5667,71.76,86,2,3.98,NC,2022-09-25 15:20:58
257,Mount Hagen,-5.8581,144.2274,56.23,98,36,2.66,PG,2022-09-25 15:20:58
258,Lakes Entrance,-37.8811,147.981,43.16,89,95,4.63,AU,2022-09-25 15:20:59
259,Liverpool,53.4106,-2.9779,59.7,69,75,18.41,GB,2022-09-25 15:18:25
260,Hohhot,40.8106,111.6522,52.09,54,0,6.71,CN,2022-09-25 15:20:59
261,Gornopravdinsk,60.05,69.9,33.42,82,77,5.73,RU,2022-09-25 15:21:00
262,Hasaki,35.7333,140.8333,66.6,89,100,17.76,JP,2022-09-25 15:21:00
263,Anshun,26.25,105.9333,59.0,91,100,3.67,CN,2022-09-25 15:21:00
264,Camacha,33.0833,-16.3333,71.02,56,75,17.27,PT,2022-09-25 15:21:01
265,Gat,31.61,34.7642,90.39,38,0,14.9,IL,2022-09-25 15:21:01
266,Provideniya,64.3833,-173.3,34.99,79,87,5.75,RU,2022-09-25 15:21:02
267,Arlit,18.7369,7.3853,105.42,7,4,5.46,NE,2022-09-25 15:21:02
268,Horodyshche,49.2849,31.4451,57.4,59,100,7.0,UA,2022-09-25 15:21:03
269,Kano,12.0001,8.5167,91.29,52,40,4.61,NG,2022-09-25 15:21:03
270,Salyan,39.5936,48.9805,67.75,51,58,13.62,AZ,2022-09-25 15:21:04
271,Port Lincoln,-34.7333,135.8667,56.03,92,100,8.77,AU,2022-09-25 15:21:04
272,Romny,50.751,33.4747,53.85,58,8,10.74,UA,2022-09-25 15:21:05
273,Fairbanks,64.8378,-147.7164,40.3,87,0,5.75,US,2022-09-25 15:20:53
274,Novyye Gorki,56.7253,41.0601,47.88,88,99,0.78,RU,2022-09-25 15:22:06
275,Mildura,-34.2,142.15,60.08,71,100,5.79,AU,2022-09-25 15:22:06
276,Juneau,58.3019,-134.4197,54.21,97,100,9.22,US,2022-09-25 15:20:53
277,Muros,42.7762,-9.0603,68.09,55,14,17.02,ES,2022-09-25 15:22:07
278,Kajiado,-1.8524,36.7768,71.1,42,64,18.14,KE,2022-09-25 15:22:07
279,Yerbogachen,61.2767,108.0108,24.67,98,92,1.7,RU,2022-09-25 15:22:08
280,Providencia,28.7167,-111.5833,85.41,46,1,1.52,MX,2022-09-25 15:22:08
281,Berlevag,70.8578,29.0864,50.0,62,5,4.61,NO,2022-09-25 15:22:08
282,Torrington,41.8007,-73.1212,65.34,74,100,1.01,US,2022-09-25 15:22:09
283,Khor,47.8861,134.9464,50.49,89,89,6.91,RU,2022-09-25 15:22:09
284,Pangnirtung,66.1451,-65.7125,41.99,45,54,2.64,CA,2022-09-25 15:22:10
285,Boyolangu,-8.1181,111.8935,75.24,90,62,6.44,ID,2022-09-25 15:22:10
286,Kruisfontein,-34.0033,24.7314,65.88,72,90,17.85,ZA,2022-09-25 15:22:11
287,Arman,59.7,150.1667,38.23,62,100,9.69,RU,2022-09-25 15:22:11
288,Kaseda,31.4167,130.3167,77.43,82,99,4.61,JP,2022-09-25 15:22:12
289,Itapirapua,-15.8233,-50.6133,94.41,34,97,12.33,BR,2022-09-25 15:22:12
290,Angoche,-16.2325,39.9086,78.46,73,50,12.46,MZ,2022-09-25 15:22:12
291,Fare,-16.7,-151.0167,77.27,78,20,20.8,PF,2022-09-25 15:22:13
292,Sudak,44.85,34.9667,63.09,59,17,9.98,UA,2022-09-25 15:22:13
293,Torbay,47.6666,-52.7314,57.58,83,75,18.41,CA,2022-09-25 15:22:13
294,Jurilovca,44.7667,28.8667,73.49,55,71,18.68,RO,2022-09-25 15:22:14
