Index,date,prcp,tobs
461,2017-06-20,0.05,75.0
462,2017-06-21,0.02,82.0
463,2017-06-22,0.1,77.0
464,2017-06-23,0.0,76.0
465,2017-06-24,0.0,74.0
466,2017-06-25,0.08,73.0
467,2017-06-26,0.02,77.0
468,2017-06-27,0.0,77.0
469,2017-06-28,0.01,77.0
470,2017-06-29,0.03,76.0
471,2017-06-30,0.04,74.0
472,2010-06-01,0.01,73.0
473,2010-06-02,0.0,72.0
474,2010-06-03,0.0,74.0
475,2010-06-04,0.0,73.0
476,2010-06-05,0.0,72.0
477,2010-06-06,0.0,75.0
478,2010-06-07,0.09,74.0
479,2010-06-08,0.0,75.0
480,2010-06-09,0.0,73.0
481,2010-06-10,0.0,75.0
482,2010-06-11,0.0,76.0
483,2010-06-12,0.03,74.0
484,2010-06-13,0.0,74.0
485,2010-06-14,0.06,73.0
486,2010-06-15,0.03,73.0
487,2010-06-16,0.0,76.0
488,2010-06-17,0.0,75.0
489,2010-06-18,0.03,70.0
490,2010-06-19,0.04,75.0
491,2010-06-20,0.0,73.0
492,2010-06-21,0.0,74.0
493,2010-06-22,0.0,74.0
494,2010-06-23,0.0,74.0
495,2010-06-24,0.05,74.0
496,2010-06-25,0.12,70.0
497,2010-06-27,,75.0
498,2010-06-28,0.18,74.0
499,2010-06-29,0.06,73.0
500,2010-06-30,0.03,74.0
501,2011-06-01,0.19,72.0
502,2011-06-02,0.04,73.0
503,2011-06-03,1.75,67.0
504,2011-06-04,1.14,69.0
505,2011-06-05,3.6,76.0
506,2011-06-06,0.0,73.0
507,2011-06-07,0.05,70.0
508,2011-06-08,0.17,72.0
509,2011-06-09,0.0,74.0
510,2011-06-10,0.02,72.0
511,2011-06-13,,72.0
512,2011-06-14,0.02,75.0
513,2011-06-15,0.0,73.0
514,2011-06-16,0.13,73.0
515,2011-06-17,0.0,72.0
516,2011-06-18,0.0,74.0
517,2011-06-19,0.12,76.0
518,2011-06-21,,72.0
519,2011-06-22,0.2,74.0
520,2011-06-23,0.09,70.0
521,2011-06-24,0.17,74.0
522,2011-06-25,0.03,74.0
523,2011-06-27,,74.0
524,2011-06-28,0.12,71.0
525,2012-06-21,0.08,75.0
526,2012-06-22,0.01,75.0
527,2012-06-24,,76.0
528,2012-06-25,0.12,77.0
529,2012-06-26,0.03,75.0
530,2012-06-27,0.2,74.0
531,2012-06-28,0.0,75.0
532,2012-06-29,0.23,76.0
533,2012-06-30,0.02,78.0
534,2013-06-03,,78.0
535,2013-06-04,0.0,76.0
536,2013-06-05,0.0,78.0
537,2013-06-06,0.0,76.0
538,2013-06-07,0.01,76.0
539,2013-06-08,0.0,78.0
540,2013-06-09,0.01,79.0
541,2013-06-10,0.0,77.0
542,2013-06-11,0.0,76.0
543,2013-06-12,0.04,77.0
544,2013-06-13,0.08,77.0
545,2013-06-14,0.03,76.0
546,2013-06-16,,78.0
547,2013-06-17,0.04,76.0
548,2013-06-18,0.04,76.0
549,2013-06-19,0.08,77.0
550,2013-06-20,0.01,71.0
551,2013-06-25,,74.0
552,2013-06-26,0.17,72.0
553,2013-06-27,0.0,77.0
554,2014-06-01,,77.0
555,2014-06-02,0.02,78.0
556,2014-06-03,0.0,77.0
557,2014-06-04,0.0,77.0
558,2014-06-05,0.0,76.0
559,2014-06-06,0.13,75.0
560,2014-06-07,0.04,79.0
561,2014-06-09,,75.0
562,2014-06-10,0.16,73.0
563,2014-06-11,0.17,76.0
564,2014-06-12,0.0,78.0
565,2014-06-13,0.0,77.0
566,2014-06-14,0.0,78.0
567,2014-06-16,,76.0
568,2014-06-17,0.39,75.0
569,2014-06-18,0.08,76.0
570,2014-06-19,0.14,77.0
571,2014-06-20,0.07,74.0
572,2014-06-21,0.11,78.0
573,2014-06-23,,77.0
574,2014-06-24,0.03,77.0
575,2014-06-25,0.1,74.0
576,2014-06-26,0.08,74.0
577,2014-06-27,0.08,78.0
578,2014-06-29,,79.0
579,2014-06-30,0.04,79.0
580,2015-06-01,0.05,78.0
581,2015-06-03,0.0,75.0
582,2015-06-04,0.22,76.0
583,2015-06-05,0.0,78.0
584,2015-06-06,0.0,78.0
585,2015-06-08,,74.0
586,2015-06-09,0.0,78.0
587,2015-06-10,0.0,77.0
588,2015-06-11,0.0,76.0
589,2015-06-12,0.03,78.0
590,2015-06-14,,78.0
591,2015-06-15,0.0,78.0
592,2015-06-16,0.0,78.0
593,2015-06-17,0.16,74.0
594,2015-06-18,0.04,79.0
595,2015-06-19,0.02,77.0
596,2015-06-20,0.06,73.0
597,2015-06-21,0.0,79.0
598,2015-06-22,0.04,79.0
599,2015-06-23,0.02,78.0
600,2015-06-24,0.01,77.0
601,2015-06-25,0.2,78.0
602,2015-06-26,0.11,78.0
603,2015-06-27,0.09,80.0
604,2015-06-28,0.0,80.0
605,2015-06-29,0.11,79.0
606,2015-06-30,1.1,74.0
607,2016-06-01,0.22,71.0
608,2016-06-02,0.35,74.0
609,2016-06-03,0.02,75.0
610,2016-06-07,,75.0
611,2016-06-08,0.0,74.0
612,2016-06-09,0.12,76.0
613,2016-06-10,0.13,75.0
614,2016-06-11,0.01,77.0
615,2016-06-12,0.26,77.0
616,2016-06-13,0.01,79.0
617,2016-06-14,0.0,79.0
618,2016-06-15,0.18,78.0
619,2016-06-16,0.06,79.0
620,2016-06-17,0.17,73.0
621,2016-06-18,0.03,78.0
622,2016-06-19,0.03,79.0
623,2016-06-20,0.47,80.0
624,2016-06-21,0.0,76.0
625,2016-06-22,0.08,79.0
626,2016-06-23,0.1,79.0
627,2016-06-24,0.03,77.0
628,2016-06-25,0.44,80.0
629,2016-06-26,0.03,79.0
630,2016-06-27,0.0,78.0
631,2016-06-28,0.0,78.0
632,2016-06-29,0.06,79.0
633,2016-06-30,0.0,78.0
634,2017-06-01,0.0,81.0
635,2017-06-02,0.15,78.0
636,2017-06-03,0.16,80.0
637,2017-06-04,0.05,79.0
638,2017-06-05,0.02,81.0
639,2017-06-06,0.0,80.0
640,2017-06-07,0.0,81.0
641,2017-06-08,0.01,79.0
642,2017-06-09,0.0,81.0
643,2017-06-10,0.53,78.0
644,2017-06-11,0.14,79.0
645,2017-06-12,0.35,79.0
646,2017-06-13,0.1,75.0
647,2017-06-14,0.21,79.0
648,2017-06-15,0.3,78.0
649,2017-06-16,0.02,80.0
650,2017-06-17,0.02,78.0
651,2017-06-18,0.18,77.0
652,2017-06-19,0.19,78.0
653,2017-06-20,0.17,79.0
654,2017-06-23,,76.0
655,2017-06-26,,80.0
656,2017-06-29,,76.0
657,2017-06-30,0.0,81.0
658,2010-06-01,0.0,77.0
659,2010-06-02,0.0,76.0
660,2010-06-03,0.14,77.0
661,2010-06-04,0.0,75.0
662,2010-06-07,0.0,76.0
663,2010-06-08,0.0,79.0
664,2010-06-09,0.0,79.0
665,2010-06-10,0.0,77.0
666,2010-06-15,0.0,76.0
667,2010-06-16,0.0,77.0
668,2010-06-17,0.0,76.0
669,2010-06-18,0.05,73.0
670,2010-06-21,0.0,76.0
671,2010-06-22,0.02,77.0
672,2010-06-23,0.0,77.0
673,2010-06-24,0.02,78.0
674,2010-06-25,0.1,77.0
675,2010-06-28,0.0,76.0
676,2010-06-29,0.0,78.0
677,2010-06-30,0.0,78.0
678,2011-06-01,,75.0
679,2011-06-02,0.0,77.0
680,2011-06-03,1.71,65.0
681,2011-06-06,0.0,76.0
682,2011-06-07,0.0,74.0
683,2011-06-08,0.05,76.0
684,2011-06-09,0.0,76.0
685,2011-06-13,0.0,77.0
686,2011-06-14,0.0,77.0
687,2011-06-15,,76.0
688,2011-06-16,,77.0
689,2011-06-17,,76.0
690,2011-06-20,,77.0
691,2011-06-21,0.25,74.0
692,2011-06-22,0.08,76.0
693,2011-06-23,0.22,73.0
694,2011-06-24,0.1,75.0
695,2011-06-27,,76.0
696,2011-06-28,,75.0
697,2011-06-29,,76.0
698,2011-06-30,0.0,75.0
699,2012-06-01,0.04,74.0
700,2012-06-04,,74.0
701,2012-06-05,0.0,74.0
702,2012-06-06,,74.0
703,2012-06-07,,76.0
704,2012-06-08,0.0,76.0
705,2012-06-12,,77.0
706,2012-06-13,0.0,77.0
707,2012-06-14,0.25,78.0
708,2012-06-15,,73.0
709,2012-06-18,,75.0
710,2012-06-19,0.02,72.0
711,2012-06-20,0.05,76.0
712,2012-06-21,0.0,76.0
713,2012-06-22,0.0,73.0
714,2012-06-25,,74.0
715,2012-06-26,,72.0
716,2012-06-27,,76.0
717,2012-06-28,0.0,76.0
718,2012-06-29,0.0,76.0
719,2013-06-03,,78.0
720,2013-06-04,,78.0
721,2013-06-05,0.02,78.0
722,2013-06-06,0.0,78.0
723,2013-06-07,0.0,75.0
724,2013-06-10,0.0,77.0
725,2013-06-12,,73.0
726,2013-06-13,,78.0
727,2013-06-14,,75.0
728,2013-06-17,,73.0
729,2013-06-18,0.08,77.0
730,2013-06-19,0.0,80.0
731,2013-06-20,0.04,70.0
732,2013-06-21,0.08,78.0
733,2013-06-25,,72.0
734,2013-06-26,,78.0
735,2013-06-27,0.01,72.0
736,2013-06-28,,78.0
737,2014-06-02,,77.0
738,2014-06-03,0.0,79.0
739,2014-06-04,,77.0
740,2014-06-05,,78.0
741,2014-06-06,,74.0
742,2014-06-09,,79.0
743,2014-06-10,0.0,79.0
744,2014-06-12,,79.0
745,2014-06-13,0.0,79.0
746,2014-06-16,,77.0
747,2014-06-17,0.2,79.0
748,2014-06-18,0.0,78.0
749,2014-06-19,0.01,80.0
750,2014-06-20,0.14,81.0
751,2014-06-27,0.0,81.0
752,2015-06-10,0.04,78.0
753,2015-06-12,0.0,77.0
754,2015-06-15,,78.0
755,2015-06-16,0.0,79.0
756,2015-06-17,0.01,77.0
757,2015-06-18,0.0,79.0
758,2015-06-19,0.0,80.0
759,2015-06-22,,79.0
760,2015-06-23,0.04,78.0
761,2015-06-24,0.09,79.0
762,2015-06-25,,79.0
763,2015-06-29,,79.0
764,2015-06-30,,81.0
765,2016-06-01,,64.0
766,2016-06-02,,65.0
767,2016-06-03,,75.0
768,2016-06-06,,76.0
769,2016-06-07,,78.0
770,2016-06-08,,77.0
771,2016-06-09,,75.0
772,2016-06-13,,78.0
773,2016-06-14,,81.0
774,2016-06-15,0.02,78.0
775,2016-06-16,0.1,76.0
776,2016-06-17,0.38,73.0
777,2016-06-20,0.1,74.0
778,2016-06-21,,76.0
779,2016-06-22,,78.0
780,2016-06-23,,79.0
781,2016-06-24,,78.0
782,2016-06-27,,72.0
783,2016-06-28,,78.0
784,2016-06-29,,80.0
785,2016-06-30,,81.0
786,2017-06-02,,79.0
787,2017-06-05,,78.0
788,2017-06-06,,80.0
789,2017-06-07,,80.0
790,2017-06-08,,78.0
791,2017-06-09,,80.0
792,2017-06-13,,81.0
793,2017-06-14,,78.0
794,2017-06-15,,77.0
795,2017-06-16,,78.0
796,2017-06-19,,78.0
797,2017-06-20,,77.0
798,2017-06-21,,76.0
799,2017-06-22,0.0,81.0
800,2017-06-23,0.0,76.0
801,2017-06-26,,82.0
802,2017-06-27,0.0,80.0
803,2017-06-28,0.0,80.0
804,2017-06-29,0.0,79.0
805,2017-06-30,0.12,74.0
806,2010-06-01,,69.0
807,2010-06-02,0.03,70.0
808,2010-06-03,0.0,67.0
809,2010-06-04,0.0,70.0
810,2010-06-05,0.0,73.0
811,2010-06-06,0.0,73.0
812,2010-06-09,,72.0
813,2010-06-10,0.0,72.0
814,2010-06-11,0.0,77.0
815,2010-06-12,0.0,70.0
816,2010-06-13,0.01,78.0
817,2010-06-15,,73.0
818,2010-06-17,0.0,75.0
819,2010-06-18,0.3,70.0
820,2010-06-19,0.02,74.0
821,2010-06-20,0.03,77.0
822,2010-06-22,,69.0
823,2010-06-23,0.11,73.0
824,2010-06-24,0.28,73.0
825,2010-06-25,0.3,74.0
826,2010-06-28,,73.0
827,2010-06-29,0.1,72.0
828,2010-06-30,0.04,75.0
829,2011-06-08,,73.0
830,2011-06-09,0.04,76.0
831,2011-06-12,,74.0
832,2011-06-13,0.08,76.0
833,2011-06-14,0.09,73.0
834,2011-06-15,0.06,76.0
835,2011-06-16,0.07,76.0
836,2011-06-20,,78.0
