Index,date,prcp,tobs
685,2015-12-09,,71.0
686,2015-12-10,,71.0
687,2015-12-16,,82.0
688,2015-12-17,,74.0
689,2015-12-18,0.11,75.0
690,2015-12-24,,77.0
691,2015-12-27,,74.0
692,2015-12-28,,68.0
693,2016-12-01,,72.0
694,2016-12-02,,70.0
695,2016-12-05,,68.0
696,2016-12-06,,74.0
697,2016-12-07,,71.0
698,2016-12-08,0.27,70.0
699,2016-12-09,,70.0
700,2016-12-12,0.02,70.0
701,2016-12-13,,68.0
702,2016-12-14,,68.0
703,2016-12-15,,68.0
704,2016-12-16,,66.0
705,2016-12-19,,71.0
706,2016-12-20,,76.0
707,2016-12-21,0.06,73.0
708,2016-12-22,,70.0
709,2016-12-23,,68.0
710,2016-12-28,,71.0
711,2016-12-29,,71.0
712,2016-12-30,,68.0
713,2010-12-02,,71.0
714,2010-12-03,0.78,70.0
715,2010-12-05,,73.0
716,2010-12-06,0.02,78.0
717,2010-12-07,0.02,76.0
718,2010-12-08,0.33,73.0
719,2010-12-09,1.43,74.0
720,2010-12-10,2.5,63.0
721,2010-12-11,1.5,72.0
722,2010-12-13,,75.0
723,2010-12-14,0.13,74.0
724,2010-12-15,0.1,72.0
725,2010-12-16,0.05,68.0
726,2012-12-03,,74.0
727,2012-12-06,,73.0
728,2013-12-17,,73.0
729,2013-12-19,,72.0
730,2013-12-20,0.16,73.0
731,2013-12-23,,72.0
732,2010-12-01,0.03,78.0
733,2010-12-02,0.02,74.0
734,2010-12-03,0.01,74.0
735,2010-12-04,0.0,78.0
736,2010-12-05,0.0,78.0
737,2010-12-06,0.0,61.0
738,2010-12-07,0.0,69.0
739,2010-12-08,0.15,65.0
740,2010-12-09,0.03,77.0
741,2010-12-10,2.02,67.0
742,2010-12-11,0.3,69.0
743,2010-12-12,0.09,75.0
744,2010-12-13,0.02,67.0
745,2010-12-14,0.04,71.0
746,2010-12-15,0.0,74.0
747,2010-12-16,0.0,66.0
748,2010-12-17,0.0,66.0
749,2010-12-18,0.0,77.0
750,2010-12-19,2.86,70.0
751,2010-12-20,4.95,73.0
752,2010-12-21,0.63,71.0
753,2010-12-22,0.58,71.0
754,2010-12-23,0.11,71.0
755,2010-12-24,0.02,67.0
756,2010-12-25,0.02,71.0
757,2010-12-26,0.74,74.0
758,2010-12-27,0.09,76.0
759,2010-12-28,0.07,72.0
760,2010-12-29,0.04,74.0
761,2010-12-30,0.27,75.0
762,2010-12-31,0.01,69.0
763,2011-12-01,0.12,69.0
764,2011-12-02,0.42,69.0
765,2011-12-03,0.02,75.0
766,2011-12-04,0.0,73.0
767,2011-12-05,0.0,73.0
768,2011-12-06,0.01,72.0
769,2011-12-07,0.0,72.0
770,2011-12-08,0.0,72.0
771,2011-12-09,0.08,74.0
772,2011-12-10,0.07,72.0
773,2011-12-11,0.55,73.0
774,2011-12-12,0.21,73.0
775,2011-12-13,0.39,73.0
776,2011-12-14,0.02,73.0
777,2011-12-15,0.09,74.0
778,2011-12-16,0.02,73.0
779,2011-12-17,0.25,71.0
780,2011-12-18,0.08,72.0
781,2011-12-19,0.1,73.0
782,2011-12-20,0.24,74.0
783,2011-12-21,0.19,72.0
784,2011-12-22,0.02,73.0
785,2011-12-23,0.01,73.0
786,2011-12-24,0.1,71.0
787,2011-12-25,0.07,73.0
788,2011-12-26,0.05,75.0
789,2011-12-27,0.04,71.0
790,2011-12-28,0.0,72.0
791,2011-12-29,0.01,73.0
792,2011-12-30,0.0,71.0
793,2011-12-31,0.0,65.0
794,2012-12-01,0.0,77.0
795,2012-12-02,0.0,72.0
796,2012-12-03,0.0,78.0
797,2012-12-04,0.08,71.0
798,2012-12-05,1.02,72.0
799,2012-12-06,0.01,71.0
800,2012-12-07,0.0,72.0
801,2012-12-08,0.0,76.0
802,2012-12-09,0.0,75.0
803,2012-12-10,0.0,75.0
804,2012-12-11,0.0,76.0
805,2012-12-12,0.04,73.0
806,2012-12-13,0.13,72.0
807,2012-12-14,0.09,74.0
808,2012-12-15,0.12,74.0
809,2012-12-16,0.04,74.0
810,2012-12-17,0.09,73.0
811,2012-12-18,0.22,77.0
812,2012-12-19,0.04,73.0
813,2012-12-20,0.1,70.0
814,2012-12-21,0.02,72.0
815,2012-12-22,0.0,76.0
816,2012-12-23,0.0,65.0
817,2012-12-24,0.0,74.0
818,2012-12-25,0.1,73.0
819,2012-12-26,0.03,77.0
820,2012-12-27,0.0,76.0
821,2012-12-28,0.0,69.0
822,2012-12-29,0.0,78.0
823,2012-12-30,0.03,76.0
824,2012-12-31,0.0,68.0
825,2013-12-01,0.09,76.0
826,2013-12-02,2.25,68.0
827,2013-12-03,0.09,79.0
828,2013-12-04,0.0,69.0
829,2013-12-05,0.0,64.0
830,2013-12-06,0.0,70.0
831,2013-12-07,0.0,69.0
832,2013-12-08,0.0,73.0
833,2013-12-09,0.0,70.0
834,2013-12-10,0.03,74.0
835,2013-12-11,0.0,76.0
